datetime_utc,currency,importance,event,hour_utc,in_london_window
2024-07-01 05:00,JPY,1,Consumer Confidence,5,0
2024-07-01 12:00,EUR,1,Inflation Rate YoY Prel,12,1
2024-07-01 14:00,USD,1,ISM Manufacturing PMI,14,0
2024-07-02 01:30,AUD,1,RBA Meeting Minutes,1,0
2024-07-02 09:00,EUR,1,Inflation Rate YoY Flash,9,1
2024-07-02 13:30,USD,1,Fed Chair Powell Speech,13,1
2024-07-02 14:00,USD,1,JOLTs Job Openings,14,0
2024-07-03 12:30,CAD,1,Balance of Trade,12,1
2024-07-03 14:00,USD,1,ISM Services PMI,14,0
2024-07-03 18:00,USD,1,FOMC Minutes,18,0
2024-07-04 01:30,AUD,1,Balance of Trade,1,0
2024-07-04 09:00,GBP,1,UK General Election,9,1
2024-07-05 12:30,USD,1,Non Farm Payrolls,12,1
2024-07-05 12:30,USD,1,Unemployment Rate,12,1
2024-07-05 12:30,CAD,1,Unemployment Rate,12,1
2024-07-05 14:00,CAD,1,Ivey PMI s.a,14,0
2024-07-08 06:00,EUR,1,Balance of Trade,6,1
2024-07-09 00:30,AUD,1,Westpac Consumer Confidence Change,0,0
2024-07-09 01:30,AUD,1,NAB Business Confidence,1,0
2024-07-09 14:00,USD,1,Fed Chair Powell Testimony,14,0
2024-07-10 14:00,USD,1,Fed Chair Powell Testimony,14,0
2024-07-11 06:00,GBP,1,GDP MoM,6,1
2024-07-11 12:30,USD,1,Inflation Rate MoM,12,1
2024-07-11 12:30,USD,1,Inflation Rate YoY,12,1
2024-07-11 12:30,USD,1,Core Inflation Rate YoY,12,1
2024-07-11 12:30,USD,1,Core Inflation Rate MoM,12,1
2024-07-12 12:30,USD,1,PPI MoM,12,1
2024-07-12 14:00,USD,1,Michigan Consumer Sentiment Prel,14,0
2024-07-15 16:30,USD,1,Fed Chair Powell Speech,16,0
2024-07-16 09:00,EUR,1,ZEW Economic Sentiment Index,9,1
2024-07-16 12:30,CAD,1,Inflation Rate YoY,12,1
2024-07-16 12:30,USD,1,Retail Sales MoM,12,1
2024-07-17 06:00,GBP,1,Inflation Rate YoY,6,1
2024-07-17 12:30,USD,1,Building Permits Prel,12,1
2024-07-17 23:50,JPY,1,Balance of Trade,23,0
2024-07-18 06:00,GBP,1,Unemployment Rate,6,1
2024-07-18 12:15,EUR,1,Deposit Facility Rate,12,1
2024-07-18 12:15,EUR,1,ECB Interest Rate Decision,12,1
2024-07-18 12:45,EUR,1,ECB Press Conference,12,1
2024-07-18 23:30,JPY,1,Inflation Rate YoY,23,0
2024-07-19 06:00,GBP,1,Retail Sales MoM,6,1
2024-07-24 06:00,EUR,1,GfK Consumer Confidence,6,1
2024-07-24 07:30,EUR,1,HCOB Manufacturing PMI Flash,7,1
2024-07-24 13:45,CAD,1,BoC Interest Rate Decision,13,1
2024-07-24 13:45,CAD,1,BoC Monetary Policy Report,13,1
2024-07-25 08:00,EUR,1,Ifo Business Climate,8,1
2024-07-25 12:30,USD,1,Durable Goods Orders MoM,12,1
2024-07-25 12:30,USD,1,GDP Growth Rate QoQ Adv,12,1
2024-07-26 12:30,USD,1,Core PCE Price Index MoM,12,1
2024-07-26 12:30,USD,1,Personal Spending MoM,12,1
2024-07-26 12:30,USD,1,Personal Income MoM,12,1
2024-07-30 05:30,EUR,1,GDP Growth Rate YoY Prel,5,0
2024-07-30 05:30,EUR,1,GDP Growth Rate QoQ Prel,5,0
2024-07-30 08:00,EUR,1,GDP Growth Rate YoY Flash,8,1
2024-07-30 08:00,EUR,1,GDP Growth Rate QoQ Flash,8,1
2024-07-30 08:00,EUR,1,GDP Growth Rate YoY Adv,8,1
2024-07-30 08:00,EUR,1,GDP Growth Rate QoQ Adv,8,1
2024-07-30 09:00,EUR,1,GDP Growth Rate YoY Flash,9,1
2024-07-30 09:00,EUR,1,GDP Growth Rate QoQ Flash,9,1
2024-07-30 12:00,EUR,1,Inflation Rate YoY Prel,12,1
2024-07-30 14:00,USD,1,JOLTs Job Openings,14,0
2024-07-31 01:30,AUD,1,Monthly CPI Indicator,1,0
2024-07-31 04:00,JPY,1,BoJ Interest Rate Decision,4,0
2024-07-31 05:00,JPY,1,Consumer Confidence,5,0
2024-07-31 06:45,EUR,1,Inflation Rate YoY Prel,6,1
2024-07-31 08:30,EUR,1,Inflation Rate YoY Prel,8,1
2024-07-31 09:00,EUR,1,Inflation Rate YoY Flash,9,1
2024-07-31 18:00,USD,1,Fed Interest Rate Decision,18,0
2024-07-31 18:30,USD,1,Fed Press Conference,18,0
2024-08-01 01:30,AUD,1,Balance of Trade,1,0
2024-08-01 11:00,GBP,1,BoE Interest Rate Decision,11,1
2024-08-01 14:00,USD,1,ISM Manufacturing PMI,14,0
2024-08-02 12:30,USD,1,Unemployment Rate,12,1
2024-08-02 12:30,USD,1,Non Farm Payrolls,12,1
2024-08-05 14:00,USD,1,ISM Services PMI,14,0
2024-08-06 04:30,AUD,1,RBA Interest Rate Decision,4,0
2024-08-06 12:30,CAD,1,Balance of Trade,12,1
2024-08-07 06:00,EUR,1,Balance of Trade,6,1
2024-08-07 14:00,CAD,1,Ivey PMI s.a,14,0
2024-08-09 12:30,CAD,1,Unemployment Rate,12,1
2024-08-13 00:30,AUD,1,Westpac Consumer Confidence Change,0,0
2024-08-13 01:30,AUD,1,NAB Business Confidence,1,0
2024-08-13 06:00,GBP,1,Unemployment Rate,6,1
2024-08-13 09:00,EUR,1,ZEW Economic Sentiment Index,9,1
2024-08-13 12:30,USD,1,PPI MoM,12,1
2024-08-14 06:00,GBP,1,Inflation Rate YoY,6,1
2024-08-14 12:30,USD,1,Core Inflation Rate MoM,12,1
2024-08-14 12:30,USD,1,Inflation Rate MoM,12,1
2024-08-14 12:30,USD,1,Core Inflation Rate YoY,12,1
2024-08-14 12:30,USD,1,Inflation Rate YoY,12,1
2024-08-14 23:50,JPY,1,GDP Growth Rate QoQ Prel,23,0
2024-08-15 06:00,GBP,1,GDP MoM,6,1
